Timestamp,Node_ID,LM35_Temp,DS18B20_Temp,Fused_Temp
2026-09-20 08:35:14,node1,28.5,28.2,28.29
2026-09-20 08:35:18,node1,28.5,28.2,28.29
2026-09-20 08:35:22,node1,28.5,28.2,28.29
2026-09-20 08:35:22,node1,28.5,28.2,28.29
2026-09-20 08:35:25,node1,28.5,28.2,28.29
2026-09-20 08:35:30,node1,28.5,28.2,28.29
2026-09-20 08:35:31,node1,28.5,28.2,28.29
2026-09-20 08:35:32,node1,28.5,28.2,28.29
2026-09-20 08:35:32,node1,28.5,28.2,28.29
2026-09-20 08:35:36,node1,28.5,28.2,28.29
2026-09-20 08:35:37,node1,28.5,28.2,28.29
